Herberd,England 1296
Reyner,England 1296
Le Tyngkere,England 1296
Admound,England 1296
De Skeffington,England 1296
Godman,England 1296
Herui,England 1296
De Seynt Cler,England 1296
Podding,England 1296
Waytesthathe,England 1296
Serle,England 1296
Scriptor,England 1296
Le Waleys,England 1296
In Cimiterio,England 1296
Cole,England 1296
Carpentarius,England 1296
Gamel,England 1296
Trille,England 1296
Basset,England 1296
De Asseby,England 1296
Sampson,England 1296
De Kerkeby,England 1296
Chapeleyn,England 1296
Ad Fontem,England 1296
De Halouton,England 1296
Thurbern,England 1296
Bretoun,England 1296
De Kelpesham,England 1296
Rose,England 1296
Heril,England 1296
Bonde,England 1296
De Kibworthe,England 1296
De Sculthorp,England 1296
Sutor,England 1296
De Sculthorp,England 1296
De Rolisham,England 1296
De Hameldon,England 1296
Le Paumer,England 1296
Toky,England 1296
Bonde,England 1296
De Boroule,England 1296
Serle,England 1296
De Pedimor,England 1296
De Sculthorp,England 1296
Byestoun,England 1296
Daunger,England 1296
Vinter,England 1296
De Glaston,England 1296
De Sculthorp,England 1296
Chapeleyn,England 1296
De Foluile,England 1296
Palmere,England 1296
Hubert,England 1296
Perounel,England 1296
Ad Venellam,England 1296
De Asseby,England 1296
Vidua,England 1296
De Kerkeby,England 1296
Palmer,England 1296
De Neubold,England 1296
Bolt,England 1296
Byestoun,England 1296
Page,England 1296
Hubert,England 1296
Palmere,England 1296
Brette,England 1296
Ad Portam,England 1296
Pollard,England 1296
Le Westerne,England 1296
De Neubold,England 1296
Pistor,England 1296
De Ricton,England 1296
Vidua,England 1296
Flori,England 1296
Somer,England 1296
Achard,England 1296
Scarp,England 1296
Relicta Symonis,England 1296
Byestoun,England 1296
Kaus,England 1296
Vidua,England 1296
Dobbe,England 1296
De Segraue,England 1296
Faukes,England 1296
Flori,England 1296
Freman,England 1296
Ad Ecclesiam,England 1296
Relicta Willelmi,England 1296
Hilde,England 1296
Erneys,England 1296
Orenges,England 1296
Attehil,England 1296
On Ye Hil,England 1296
Messor,England 1296
Wyseman,England 1296
Cissor,England 1296
Bene,England 1296
Papa,England 1296
Facouner,England 1296
Mhol,England 1296
De Beroudon,England 1296
Fraunk,England 1296
Fraunceys,England 1296
Rose,England 1296
Le Fraunk,England 1296
Le Crane,England 1296
De Hale,England 1296
Taliard,England 1296
Skerhar,England 1296
Ad Aulam,England 1296
Skerhar,England 1296
De Kibworthe,England 1296
Wilchar,England 1296
Godefrey,England 1296
Cocus,England 1296
Doundris,England 1296
Skerhare,England 1296
Carpentarius,England 1296
Ad Fontem,England 1296
Duredent,England 1296
Doundris,England 1296
De Wytewell,England 1296
Gerard,England 1296
De Bernardhishil,England 1296
De Scaldeford,England 1296
De Bolewik,England 1296
Tolppe,England 1296
Le Wyte,England 1296
De Morcote,England 1296
Pertre,England 1296
Car,England 1296
Warin,England 1296
Clericus,England 1296
Eleyn,England 1296
Est,England 1296
Wynemer,England 1296
Beuerecke,England 1296
De Maydewell,England 1296
Ad Fontem,England 1296
De Tolithorp,England 1296
De Ketene,England 1296
De Manton,England 1296
Tubbe,England 1296
De Eston,England 1296
Erneys,England 1296
De Croft,England 1296
De Bellofago,England 1296
De Bellofago,England 1296
De Bellofago,England 1296
De Sancto Licio,England 1296
Malure,England 1296
Ad Aulam,England 1296
Goding,England 1296
Hoppere,England 1296
De Weyvile,England 1296
Baret,England 1296
Baret,England 1296
Findir,England 1296
Carpentarius,England 1296
Le Parmenter,England 1296
Le Parmenter,England 1296
Bonde,England 1296
Deye,England 1296
De Bokeland,England 1296
Le Despenser,England 1296
Crake,England 1296
De Rihale,England 1296
Torel,England 1296
Faukes,England 1296
Holemede,England 1296
Goldcorn,England 1296
Baudewyn,England 1296
Coyt,England 1296
Hate,England 1296
Hole,England 1296
De Burton,England 1296
Fide,England 1296
De Seyton,England 1296
Dacke,England 1296
Mareschall,England 1296
Cote,England 1296
Peth,England 1296
Torel,England 1296
Aldous,England 1296
Douning,England 1296
Goldcorn,England 1296
Kesa,England 1296
De Langham,England 1296
Pek,England 1296
In Cimiterio,England 1296
Drake,England 1296
Palmere,England 1296
Willes,England 1296
Vidua,England 1296
Coyt,England 1296
Ad Aquam,England 1296
Pate,England 1296
Bysy,England 1296
Le Dering,England 1296
Sampson,England 1296
Faukes,England 1296
Panel,England 1296
Dack,England 1296
Hol,England 1296
De Belmesthorp,England 1296
Takito,England 1296
Fide,England 1296
De Bardeleye,England 1296
Panel,England 1296
Dodding,England 1296
De Rihale,England 1296
De Montefort,England 1296
Ad Crucem,England 1296
Umfrey,England 1296
Boreth,England 1296
Le Gardiner,England 1296
Langeleye,England 1296
De Lindon,England 1296
Curteys,England 1296
De Kente,England 1296
Tryg,England 1296
De Langeleye,England 1296
De Hirlaunde,England 1296
Godman,England 1296
Faber,England 1296
Bond,England 1296
De Caldecote,England 1296
Ad Portam Aule,England 1296
Byestoun,England 1296
Nunde,England 1296
De Helewelle,England 1296
Faber,England 1296
Le Mercer,England 1296
Ad Crucem,England 1296
Attemere,England 1296
Mariot,England 1296
Falleinwell,England 1296
Belle,England 1296
Hallehyne,England 1296
Huewy,England 1296
Ordimer,England 1296
De Luda,England 1296
Bloundel,England 1296
Bardfis,England 1296
Joliard,England 1296
De Wardon,England 1296
Tanator,England 1296
Jouis,England 1296
Brese,England 1296
Ganter,England 1296
Tatyn,England 1296
Scarp,England 1296
Fosse,England 1296
Ad Barram,England 1296
Le Draper,England 1296
De Langham,England 1296
Sired,England 1296
Fleming,England 1296
Sired,England 1296
Salteby,England 1296
De Somerdeby,England 1296
Fithel,England 1296
Pistor,England 1296
Wylimot,England 1296
Oldcorn,England 1296
Edward,England 1296
Belle,England 1296
Le Geyte,England 1296
De Picwell,England 1296
Aurifaber,England 1296
Ad Sikam,England 1296
Le Folour,England 1296
De Neubold,England 1296
De Boroule,England 1296
Ladde,England 1296
Daubeny,England 1296
De Blythe,England 1296
De Rihale,England 1296
Wigeyn,England 1296
De Somerdeby,England 1296
De Egilton,England 1296
Le Siour,England 1296
De Egilton,England 1296
Tropinel,England 1296
De Picwell,England 1296
De Egilton,England 1296
Ad Hyd,England 1296
De Egilton,England 1296
Belle,England 1296
Le Taylour,England 1296
De Somerdeby,England 1296
De Sancto Petro,England 1296
De Thorp,England 1296
Verdoun,England 1296
Belle,England 1296
Germeyn,England 1296
Hille,England 1296
Scot,England 1296
Mercator,England 1296
Fraunceys,England 1296
Beuerage,England 1296
Heldyn,England 1296
Fraunceys,England 1296
De Neubold,England 1296
De Thorp,England 1296
De Louseby,England 1296
Bille,England 1296
Thop,England 1296
Ingald,England 1296
De Egilton,England 1296
Ad Pontem,England 1296
Kade,England 1296
De Louseby,England 1296
Reyner,England 1296
Cade,England 1296
Leche,England 1296
Cade,England 1296
Byestoun,England 1296
Gabeysoun,England 1296
De Empingham,England 1296
Brithyue,England 1296
Ricardi,England 1296
In þE Pit,England 1296
Cardoun,England 1296
Scarp,England 1296
Lefty,England 1296
De Wakerl,England 1296
Ad Crucem,England 1296
De Lindon,England 1296
A Le Brok,England 1296
Torthe,England 1296
Crowe,England 1296
De Castre,England 1296
Pik,England 1296
Le Rede,England 1296
Ad Crucem,England 1296
Bi Westoun,England 1296
Gurneys,England 1296
Dode,England 1296
Gurneys,England 1296
Le Bercher,England 1296
Le Vacher,England 1296
Bole,England 1296
In Venella,England 1296
Faber,England 1296
De Beroudon,England 1296
Fyn,England 1296
De Gluestowe,England 1296
Papa,England 1296
Erneys,England 1296
Le Heyr,England 1296
Spiri,England 1296
Erneys,England 1296
Knaue,England 1296
Sterwynd,England 1296
Le Longe,England 1296
Fyn,England 1296
Westoun,England 1296
De Umfravile,England 1296
Child,England 1296
Parys,England 1296
Cocus,England 1296
Freman,England 1296
De La Dale,England 1296
Maudust,England 1296
Ad Portam,England 1296
De Groby,England 1296
Holgate,England 1296
De Thy,England 1296
Maudust,England 1296
Broun,England 1296
De Garthorp,England 1296
Pistor,England 1296
Abbey,England 1296
Arak,England 1296
Ad Grenam,England 1296
Braynd,England 1296
Byestoun,England 1296
Clericus,England 1296
Pik,England 1296
Fich,England 1296
De Seyton,England 1296
De Brok,England 1296
Porter,England 1296
Attestonis,England 1296
De Kelpesham,England 1296
Hodinel,England 1296
De Glaston,England 1296
De Baille,England 1296
Faukes,England 1296
Broun,England 1296
